Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_hud_to_csv
Sounding Number;PRE-HUD-N21d;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;SHANAVAS;;
Date;2022-06-19 00:00:00;;
Start Time;19:13:00;;
Time at penetration;19:17:15;;
Total time taken;00:04:15;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;2.02;;
Pre-Drill:;0;;
Penetration Depth;5.38;;
Remarks;;;
Easting;234892.325;;
Northing;2701584.446;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;0.0;0.0;0.0
0.01;0.020900000000000002;0.0;-0.0001
0.02;0.188;0.0002;0.0
0.03;0.6725;0.0004;0.0
0.04;0.6892;0.0008;0.0
0.05;1.4745000000000001;0.0016;0.0
0.06;3.2874000000000003;0.0031000000000000003;-0.0001
0.07;3.4754;0.006200000000000001;-0.0001
0.08;3.5631000000000004;0.0125;-0.0001
0.09;4.4946;0.025;-0.0001
0.1;5.4428;0.0279;0.0
0.11;8.4962;0.0308;0.0
0.12;10.8781;0.0339;0.0
0.13;13.3292;0.037000000000000005;0.0
0.14;15.9967;0.0398;0.0
0.15;20.3046;0.0425;0.0001
0.16;21.8565;0.0439;0.0
0.17;22.5198;0.0471;-0.0001
0.18;22.2904;0.0536;-0.0002
0.19;22.5115;0.0597;-0.0002
0.2;22.4405;0.06720000000000001;-0.0002
0.21;22.247700000000002;0.0747;-0.0002
0.22;22.1568;0.0747;-0.0002
0.23;22.1718;0.0748;-0.0002
0.24;22.1868;0.07490000000000001;-0.00030000000000000003
0.25;22.2361;0.0753;-0.00030000000000000003
0.26;22.8118;0.0763;-0.00030000000000000003
0.27;23.083000000000002;0.0814;-0.00030000000000000003
0.28;23.387600000000003;0.0805;-0.00030000000000000003
0.29;23.5002;0.1078;-0.0002
0.3;24.5807;0.11660000000000001;-0.0002
0.31;24.6266;0.1254;-0.0002
0.32;24.2803;0.1254;-0.0002
0.33;23.1414;0.1303;-0.0001
0.34;22.544800000000002;0.15960000000000002;-0.0001
0.35;21.514400000000002;0.1693;-0.0001
0.36;21.0638;0.1791;-0.0001
0.37;21.0138;0.1794;-0.0001
0.38;21.1222;0.17980000000000002;-0.0001
0.39;20.6508;0.17980000000000002;-0.0001
0.4;19.900100000000002;0.17980000000000002;0.0
0.41;18.3063;0.17980000000000002;0.0
0.42;18.3063;0.1779;0.0001
0.43;16.1964;0.15480000000000002;0.0
0.44;16.1099;0.1317;0.0
0.45;16.072400000000002;0.1131;-0.0001
0.46;16.098000000000003;0.09870000000000001;-0.0001
0.47;16.1235;0.0931;-0.0001
0.48;17.390800000000002;0.08750000000000001;-0.0002
0.49;20.2295;0.0845;-0.0002
0.5;22.782600000000002;0.08320000000000001;-0.00030000000000000003
0.51;25.1398;0.08310000000000001;-0.0005
0.52;27.079700000000003;0.0833;-0.0006000000000000001
0.53;26.983700000000002;0.0834;-0.0007
0.54;26.989600000000003;0.0884;0.0002
0.55;26.9955;0.11030000000000001;-0.0008
0.56;27.192800000000002;0.1148;-0.0011
0.57;27.680400000000002;0.1193;-0.0012000000000000001
0.58;29.2908;0.13;-0.0011
0.59;30.563200000000002;0.1408;-0.0011
0.6;30.4798;0.1573;-0.0009000000000000001
0.61;30.959500000000002;0.1573;-0.0006000000000000001
0.62;32.0484;0.1794;-0.0006000000000000001
0.63;32.0484;0.1859;-0.00030000000000000003
0.64;33.2416;0.1874;-0.0009000000000000001
0.65;34.0175;0.1869;-0.0011
0.66;33.35;0.1864;-0.0012000000000000001
0.67;33.35;0.1791;-0.0012000000000000001
0.68;32.5615;0.1716;-0.0012000000000000001
0.69;31.118100000000002;0.17020000000000002;-0.0008
0.7;30.1502;0.1706;-0.0008
0.71;30.1502;0.1709;-0.0009000000000000001
0.72;28.948700000000002;0.1721;-0.0054
0.73;28.9026;0.19160000000000002;-0.009600000000000001
0.74;28.8927;0.2078;-0.0094
0.75;28.9329;0.2092;-0.0092
0.76;28.973100000000002;0.2092;-0.0088
0.77;29.4451;0.2092;-0.008
0.78;30.0959;0.2089;-0.008
0.79;30.0959;0.2082;-0.004
