Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-H22a;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;BALAJI.S;;
Date:;2022-06-20 00:00:00;;
Start Time;09:13:00;;
Time at penetration;09:18:04;;
Total time taken;00:05:04;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;1.94;;
Pre-Drill:;0;;
Penetration Depth;5.17;;
Remarks;;;
Easting;235172.462;;
Northing;2702173.109;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;-0.002;0.0;0.0
0.01;1.5352000000000001;0.0;-0.0001
0.02;3.394;0.00030000000000000003;0.0005
0.03;5.2445;0.0006000000000000001;0.0008
0.04;6.5644;0.0013000000000000002;0.0013000000000000002
0.05;9.0832;0.0025;0.0018000000000000002
0.06;9.676400000000001;0.0051;0.0017000000000000001
0.07;10.0355;0.010100000000000001;0.0018000000000000002
0.08;10.9177;0.020200000000000003;0.0021000000000000003
0.09;11.5919;0.040400000000000005;0.0019
0.1;11.6293;0.0439;0.0017000000000000001
0.11;11.6156;0.0488;0.0014
0.12;11.6149;0.0506;0.0014
0.13;11.6292;0.061500000000000006;0.0014
0.14;11.6434;0.0826;0.0014
0.15;11.770800000000001;0.09000000000000001;0.0014
0.16;13.680900000000001;0.0916;0.0015
0.17;14.7546;0.0931;0.0018000000000000002
0.18;16.0987;0.0936;0.0019
0.19;17.813200000000002;0.0942;0.0024000000000000002
0.2;19.2573;0.1077;0.0025
0.21;20.4194;0.1056;0.0032
0.22;21.55;0.1102;0.0036000000000000003
0.23;22.5429;0.11460000000000001;0.0039000000000000003
0.24;24.820700000000002;0.131;0.0045000000000000005
0.25;26.5896;0.13570000000000002;0.0054
0.26;28.008000000000003;0.1497;0.0055000000000000005
0.27;29.547500000000003;0.155;0.0059
0.28;30.9325;0.1709;0.006200000000000001
0.29;31.4832;0.1789;0.0067
0.3;32.1257;0.19870000000000002;0.006900000000000001
0.31;32.8474;0.23070000000000002;0.007200000000000001
0.32;33.660900000000005;0.2452;0.0076
0.33;34.007200000000005;0.2484;0.008
0.34;35.0377;0.2499;0.008700000000000001
0.35;35.5049;0.2514;0.0092
0.36;36.1599;0.2592;0.0099
0.37;36.089;0.2671;0.0102
0.38;35.509100000000004;0.27490000000000003;0.0103
0.39;35.6134;0.2766;0.0103
0.4;35.467400000000005;0.2768;0.010700000000000001
0.41;35.309200000000004;0.27640000000000003;0.010700000000000001
0.42;35.302800000000005;0.27590000000000003;0.011000000000000001
0.43;35.3026;0.2748;0.0112
0.44;35.3036;0.25680000000000003;0.0114
0.45;35.3046;0.2472;0.0117
0.46;35.9221;0.23770000000000002;0.0119
0.47;36.139;0.23220000000000002;0.012100000000000001
0.48;35.993;0.23120000000000002;0.0122
0.49;35.909600000000005;0.231;0.0122
0.5;35.5007;0.23120000000000002;0.012100000000000001
0.51;35.2755;0.23140000000000002;0.0119
0.52;35.050200000000004;0.23190000000000002;0.0117
0.53;35.3464;0.233;0.0118
0.54;34.155300000000004;0.23320000000000002;0.0111
0.55;33.9361;0.2333;0.010400000000000001
0.56;33.8268;0.2333;0.0103
0.57;33.8044;0.23320000000000002;0.0103
0.58;33.7819;0.2316;0.0102
0.59;33.7613;0.22840000000000002;0.01
0.6;33.7537;0.2265;0.01
0.61;33.7462;0.2209;0.0099
0.62;33.9154;0.21810000000000002;0.01
0.63;33.702600000000004;0.222;0.0098
0.64;33.579;0.22590000000000002;0.0097
0.65;33.5955;0.23440000000000003;0.0097
0.66;33.612;0.25170000000000003;0.0097
0.67;33.6811;0.2878;0.0098
0.68;34.0645;0.2973;0.0098
0.69;34.8457;0.3126;0.0099
0.7;36.260000000000005;0.32380000000000003;0.0103
0.71;39.1344;0.3265;0.0108
0.72;40.7108;0.3279;0.0114
0.73;41.432;0.3284;0.012100000000000001
0.74;41.8932;0.3271;0.012100000000000001
0.75;38.7882;0.32580000000000003;0.0109
0.76;34.958400000000005;0.3231;0.0112
0.77;33.323;0.2843;0.010400000000000001
0.78;31.187;0.2602;0.008400000000000001
0.79;30.953400000000002;0.2391;0.007
0.8;29.2846;0.2184;0.0048000000000000004
0.81;29.2805;0.198;0.0028
0.82;28.913300000000003;0.18100000000000002;0.0014
0.83;27.8745;0.1721;0.0002
0.84;26.564600000000002;0.1676;-0.0009000000000000001
0.85;24.7164;0.1655;-0.0017000000000000001
0.86;23.6067;0.165;-0.0018000000000000002
0.87;22.5345;0.1646;-0.0018000000000000002
0.88;21.867;0.1647;-0.0018000000000000002
0.89;21.6125;0.16440000000000002;-0.0017000000000000001
0.9;20.8491;0.164;-0.0015
0.91;20.628;0.163;-0.0005
0.92;20.2442;0.1525;-0.0002
0.93;19.7608;0.15860000000000002;-0.0008
0.94;19.5319;0.1477;-0.0018000000000000002
0.95;19.5176;0.1389;-0.0018000000000000002
0.96;19.5152;0.13140000000000002;-0.0019
0.97;19.5168;0.1247;-0.0019
0.98;19.5185;0.1193;-0.0018000000000000002
0.99;19.522100000000002;0.1068;-0.0018000000000000002
1.0;19.599600000000002;0.1032;-0.0017000000000000001
1.01;19.8232;0.10300000000000001;-0.0015
