Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-H22b;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;BALAJI.S;;
Date:;2022-06-20 00:00:00;;
Start Time;08:56:00;;
Time at penetration;09:02:58;;
Total time taken;00:06:58;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;1.99;;
Pre-Drill:;0;;
Penetration Depth;6.1;;
Remarks;;;
Easting;235219.125;;
Northing;2702155.149;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;0.0;0.0;0.0
0.01;0.3634;0.0;0.0001
0.02;0.4762;0.00030000000000000003;0.0
0.03;0.6391;0.0006000000000000001;0.0001
0.04;1.061;0.0012000000000000001;0.0001
0.05;1.5664;0.0024000000000000002;0.0001
0.06;2.2473;0.0048000000000000004;0.0
0.07;2.9616000000000002;0.009600000000000001;0.0
0.08;3.3459000000000003;0.019200000000000002;0.0
0.09;3.467;0.028800000000000003;0.0
0.1;3.6424000000000003;0.029300000000000003;0.0
0.11;3.6926;0.029500000000000002;0.0
0.12;3.6759000000000004;0.029500000000000002;0.0
0.13;3.6821;0.0296;0.0
0.14;3.6884;0.0297;0.0001
0.15;3.8513;0.029900000000000003;0.0001
0.16;4.214700000000001;0.030100000000000002;0.0005
0.17;4.431900000000001;0.0315;0.0008
0.18;4.9332;0.0342;-0.0002
0.19;5.5054;0.0396;-0.0009000000000000001
0.2;7.4896;0.0475;-0.0009000000000000001
0.21;8.7552;0.055400000000000005;-0.001
0.22;9.883000000000001;0.056100000000000004;-0.001
0.23;12.5302;0.0568;-0.0009000000000000001
0.24;13.5789;0.0614;-0.0009000000000000001
0.25;14.997900000000001;0.06520000000000001;-0.0008
0.26;15.4557;0.0689;-0.00030000000000000003
0.27;15.7262;0.0752;-0.0002
0.28;16.6375;0.093;-0.0001
0.29;17.3408;0.0804;0.0002
0.3;19.459;0.1018;0.0005
0.31;21.0638;0.1071;0.001
0.32;22.428;0.1075;0.001
0.33;23.6671;0.10790000000000001;0.0012000000000000001
0.34;23.9132;0.109;0.0014
0.35;23.892400000000002;0.11;0.0016
0.36;23.717100000000002;0.1097;0.0016
0.37;23.370900000000002;0.11330000000000001;0.0017000000000000001
0.38;22.974600000000002;0.115;0.0017000000000000001
0.39;22.640800000000002;0.1168;0.0018000000000000002
0.4;21.735500000000002;0.1182;0.0018000000000000002
0.41;20.976200000000002;0.1183;0.0018000000000000002
0.42;20.867800000000003;0.1183;0.0018000000000000002
0.43;20.8165;0.1182;0.0019
0.44;20.816200000000002;0.1182;0.002
0.45;20.816300000000002;0.1179;0.0023
0.46;20.8164;0.11760000000000001;0.0023
0.47;20.817700000000002;0.11750000000000001;0.0025
0.48;20.9387;0.11750000000000001;0.0027
0.49;20.8719;0.11750000000000001;0.0028
0.5;21.3767;0.11750000000000001;0.0029000000000000002
0.51;21.723000000000003;0.11760000000000001;0.0032
0.52;21.9024;0.11800000000000001;0.0032
0.53;23.083000000000002;0.1183;0.0037
0.54;23.9007;0.1208;0.0038
0.55;25.2315;0.1213;0.0041
0.56;26.1243;0.1213;0.0045000000000000005
0.57;26.3746;0.1213;0.0045000000000000005
0.58;26.625;0.1212;0.0046
0.59;27.4802;0.1177;0.0047
0.6;28.035;0.116;0.0049
0.61;28.433500000000002;0.1159;0.0047
0.62;28.8319;0.1164;0.0045000000000000005
0.63;27.159000000000002;0.117;0.0039000000000000003
0.64;25.3317;0.11800000000000001;0.0036000000000000003
0.65;24.1343;0.1296;0.0033
0.66;24.101000000000003;0.1321;0.0036000000000000003
0.67;24.021700000000003;0.1326;0.0018000000000000002
0.68;23.9362;0.1331;0.0017000000000000001
0.69;23.8507;0.1331;0.0012000000000000001
0.7;23.9633;0.1332;0.0009000000000000001
0.71;23.7213;0.1333;0.0006000000000000001
0.72;23.4022;0.1337;0.0005
0.73;23.083000000000002;0.1383;-0.0007
0.74;23.3792;0.1428;-0.0024000000000000002
0.75;21.990000000000002;0.1429;-0.005200000000000001
0.76;21.3809;0.1428;-0.006900000000000001
0.77;20.7259;0.1428;-0.0079
0.78;20.2253;0.1413;-0.0128
0.79;19.896;0.138;-0.016300000000000002
0.8;19.825200000000002;0.1332;-0.0173
0.81;19.5214;0.131;-0.017400000000000002
0.82;19.1386;0.12890000000000001;-0.017400000000000002
0.83;19.022100000000002;0.1085;-0.0171
0.84;18.8015;0.1012;-0.016900000000000002
0.85;18.273;0.0922;-0.0158
0.86;18.2022;0.07590000000000001;-0.0125
0.87;18.1565;0.069;-0.0056
0.88;18.0899;0.0656;-0.0033
0.89;17.5073;0.064;-0.0025
0.9;17.44;0.06380000000000001;-0.0024000000000000002
0.91;17.441200000000002;0.0636;-0.0022
0.92;17.4424;0.06280000000000001;-0.0019
0.93;17.4492;0.062;-0.0017000000000000001
0.94;17.7694;0.061500000000000006;-0.0016
0.95;18.1398;0.061000000000000006;-0.0015
0.96;18.0483;0.0609;0.0001
0.97;18.069100000000002;0.0609;-0.0002
0.98;18.0899;0.0609;-0.0007
0.99;18.1107;0.061000000000000006;-0.0008
1.0;18.2896;0.0648;-0.0009000000000000001
1.01;18.7724;0.06810000000000001;-0.001
1.02;18.9846;0.0698;-0.001
1.03;18.775100000000002;0.0704;-0.0014
1.04;18.7747;0.0702;-0.0015
1.05;18.7754;0.07;-0.0011
1.06;18.7761;0.06960000000000001;-0.0028
1.07;18.789;0.0695;-0.0031000000000000003
1.08;18.9388;0.06960000000000001;-0.0032
1.09;18.9804;0.0697;-0.0032
