Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-I21b;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;SHANAVAS;;
Date:;2022-06-19 00:00:00;;
Start Time;22:05:00;;
Time at penetration;22:08:55;;
Total time taken;00:03:55;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;2;;
Pre-Drill:;0;;
Penetration Depth;5.01;;
Remarks;;;
Easting;235089.88;;
Northing;2702097.742;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;0.0;0.0;0.0
0.01;0.873;0.0;0.0001
0.02;2.1637;0.0004;0.0001
0.03;3.1871;0.0009000000000000001;0.0001
0.04;3.9891;0.0018000000000000002;0.0001
0.05;4.67;0.0037;0.0001
0.06;5.0919;0.0074;0.0001
0.07;6.6416;0.014700000000000001;0.0001
0.08;7.309900000000001;0.029400000000000003;0.0001
0.09;8.195500000000001;0.058800000000000005;0.0001
0.1;10.266300000000001;0.0609;0.0001
0.11;11.7104;0.0702;0.0001
0.12;12.938;0.0796;0.0001
0.13;13.587200000000001;0.12040000000000001;0.0
0.14;13.7661;0.1305;0.0
0.15;14.519400000000001;0.13440000000000002;-0.00030000000000000003
0.16;15.1685;0.1384;-0.0006000000000000001
0.17;15.955100000000002;0.1371;-0.0006000000000000001
0.18;17.082800000000002;0.1519;-0.0007
0.19;18.0608;0.1668;-0.001
0.2;18.6475;0.1978;-0.0011
0.21;19.4923;0.23240000000000002;-0.0011
0.22;22.0609;0.2459;-0.0011
0.23;24.2637;0.24680000000000002;-0.0011
0.24;28.856900000000003;0.24550000000000002;-0.00030000000000000003
0.25;29.587;0.2442;-0.0001
0.26;30.6174;0.2411;0.0
0.27;30.2086;0.2291;0.0
0.28;30.896900000000002;0.2278;-0.0001
0.29;28.8611;0.2265;0.0
0.3;26.983700000000002;0.22610000000000002;0.0
0.31;24.067600000000002;0.22560000000000002;0.0
0.32;23.2165;0.224;0.0
0.33;21.9232;0.19720000000000001;0.0
0.34;20.9971;0.1855;0.0001
0.35;20.171;0.17880000000000001;0.0001
0.36;19.546400000000002;0.1782;0.0001
0.37;19.5483;0.17700000000000002;0.0001
0.38;19.5503;0.1757;0.0001
0.39;19.5572;0.1721;-0.0002
0.4;19.5714;0.16840000000000002;-0.0015
0.41;19.5881;0.1681;-0.0036000000000000003
0.42;19.6047;0.168;-0.0059
0.43;19.7274;0.168;-0.0086
0.44;19.8502;0.168;-0.009600000000000001
0.45;20.1585;0.168;-0.0108
0.46;20.1919;0.16970000000000002;-0.0114
0.47;20.771800000000002;0.1799;-0.0115
0.48;20.7843;0.1837;-0.0115
0.49;20.788500000000003;0.1875;-0.0114
0.5;21.2516;0.1879;-0.0111
0.51;22.232;0.1884;-0.0085
0.52;23.3667;0.2018;-0.0079
0.53;25.1231;0.2093;-0.0083
0.54;26.1076;0.2155;-0.0082
0.55;28.6525;0.2283;-0.0078000000000000005
0.56;34.8144;0.2412;-0.0066
0.57;37.572;0.2667;-0.0034000000000000002
0.58;36.979600000000005;0.27090000000000003;-0.0028
0.59;37.8849;0.2726;-0.001
0.6;33.8673;0.27340000000000003;-0.0018000000000000002
0.61;33.1039;0.2737;-0.0023
0.62;29.4451;0.2737;-0.0026000000000000003
0.63;27.9266;0.2737;-0.0025
0.64;27.3258;0.2737;-0.0025
0.65;26.111800000000002;0.2737;-0.0025
0.66;24.3179;0.24960000000000002;-0.0012000000000000001
0.67;21.8899;0.22060000000000002;-0.0016
0.68;21.8215;0.19160000000000002;-0.0012000000000000001
0.69;21.811500000000002;0.1448;-0.001
0.7;21.8126;0.1359;-0.001
0.71;21.8137;0.127;-0.001
0.72;21.820700000000002;0.1213;-0.001
0.73;21.8367;0.1043;-0.001
0.74;21.9524;0.1041;-0.0012000000000000001
0.75;21.8732;0.10400000000000001;-0.0013000000000000002
0.76;21.3642;0.1032;-0.0014
0.77;20.2086;0.09910000000000001;-0.0014
0.78;19.6421;0.09340000000000001;-0.0014
0.79;19.067800000000002;0.0878;-0.0018000000000000002
0.8;18.0108;0.0879;-0.0021000000000000003
0.81;16.1465;0.0876;-0.0021000000000000003
0.82;15.5181;0.0874;-0.0021000000000000003
0.83;15.243500000000001;0.0785;-0.0021000000000000003
0.84;14.9563;0.0682;-0.0021000000000000003
0.85;14.278;0.06380000000000001;-0.0019
0.86;14.0616;0.0613;-0.0016
0.87;13.7994;0.0589;-0.0014
0.88;13.379100000000001;0.054200000000000005;-0.0014
0.89;13.330200000000001;0.043000000000000003;-0.0012000000000000001
0.9;13.331100000000001;0.0379;-0.0012000000000000001
0.91;13.332;0.0368;-0.0011
0.92;13.334100000000001;0.0369;-0.0011
0.93;13.3666;0.0369;-0.0011
0.94;13.512300000000002;0.037000000000000005;-0.0012000000000000001
0.95;13.4707;0.041800000000000004;-0.0012000000000000001
0.96;12.5218;0.046700000000000005;-0.0013000000000000002
0.97;12.2763;0.0478;-0.0013000000000000002
0.98;11.9809;0.0483;-0.0014
0.99;11.598;0.0485;-0.0014
1.0;11.3192;0.0487;-0.0014
1.01;10.4661;0.0487;-0.0014
1.02;10.3995;0.0488;-0.0014
1.03;10.296800000000001;0.0489;-0.0014
1.04;10.248800000000001;0.051000000000000004;-0.0014
1.05;10.2331;0.0519;-0.0019
1.06;10.349300000000001;0.0522;-0.002
1.07;10.4656;0.0524;-0.002
1.08;10.9655;0.0523;-0.0021000000000000003
1.09;11.0237;0.052500000000000005;-0.0021000000000000003
1.1;11.236;0.0526;-0.0021000000000000003
1.11;11.831000000000001;0.0626;-0.0022
1.12;11.5647;0.0727;-0.0023
1.13;11.702;0.075;-0.0023
1.14;11.7104;0.076;-0.0023
1.15;11.8643;0.077;-0.0024000000000000002
1.16;12.2181;0.0763;-0.0027
1.17;12.5884;0.0791;-0.0027
1.18;12.825600000000001;0.0804;-0.0027
1.19;12.8506;0.08070000000000001;-0.0027
1.2;12.888100000000001;0.08080000000000001;-0.0027
1.21;12.867;0.08080000000000001;-0.0025
1.22;12.879100000000001;0.08080000000000001;-0.0026000000000000003
1.23;12.891200000000001;0.081;-0.0029000000000000002
1.24;13.0753;0.08120000000000001;-0.0029000000000000002
1.25;13.678700000000001;0.082;-0.003
1.26;14.319600000000001;0.09380000000000001;-0.003
1.27;14.9147;0.0965;-0.0031000000000000003
1.28;15.821900000000001;0.0978;-0.0029000000000000002
1.29;15.7636;0.0985;-0.0032
1.3;15.955100000000002;0.09720000000000001;-0.0033
1.31;14.7857;0.0959;-0.0041
1.32;14.881400000000001;0.0932;-0.0044
1.33;14.7774;0.0911;-0.0045000000000000005
