Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-J13d;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;BALAJI.S;;
Date:;2022-06-22 00:00:00;;
Start Time;16:26:00;;
Time at penetration;16:30:56;;
Total time taken;00:04:56;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;2.09;;
Pre-Drill:;0;;
Penetration Depth;4.68;;
Remarks;;;
Easting;234289.39;;
Northing;2702245.104;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;-0.0008;0.0;0.0
0.01;0.24980000000000002;0.0;0.0006000000000000001
0.02;0.33330000000000004;0.0001;0.0009000000000000001
0.03;0.40850000000000003;0.0002;0.001
0.04;0.46280000000000004;0.00030000000000000003;0.0009000000000000001
0.05;0.5213;0.0006000000000000001;0.0007
0.06;0.5756;0.0012000000000000001;0.0006000000000000001
0.07;0.6216;0.0024000000000000002;0.0006000000000000001
0.08;0.7678;0.0027;0.0005
0.09;0.9265;0.0029000000000000002;0.0005
0.1;0.9014000000000001;0.0033;0.00030000000000000003
0.11;1.1061;0.0036000000000000003;0.0002
0.12;1.2648000000000001;0.0059;0.0002
0.13;1.2126000000000001;0.0063;0.0001
0.14;1.3787;0.0067;0.0
0.15;1.5447000000000002;0.007200000000000001;0.0
0.16;1.6867;0.0076;0.0
0.17;2.1128;0.0102;0.0
0.18;2.5472;0.0105;0.0
0.19;2.7728;0.010700000000000001;0.0
0.2;3.0735;0.011000000000000001;0.0
0.21;3.2448;0.013000000000000001;0.0
0.22;3.5706;0.0131;0.0
0.23;3.7711;0.0132;0.0
0.24;4.1136;0.0135;0.0
0.25;4.2348;0.013900000000000001;0.0001
0.26;4.6107000000000005;0.0142;0.0001
0.27;4.7778;0.0143;0.0002
0.28;5.1913;0.0143;0.0002
0.29;5.4002;0.014400000000000001;0.00030000000000000003
0.3;5.9348;0.014400000000000001;0.00030000000000000003
0.31;6.1938;0.0146;0.0004
0.32;6.874700000000001;0.015000000000000001;0.0004
0.33;7.1713000000000005;0.017400000000000002;0.0004
0.34;7.6516;0.0198;0.0005
0.35;7.814500000000001;0.0201;0.0006000000000000001
0.36;8.1278;0.0204;0.0006000000000000001
0.37;8.386800000000001;0.022000000000000002;0.0009000000000000001
0.38;8.6583;0.0233;0.0011
0.39;8.9298;0.0247;0.0015
0.4;8.8839;0.0258;0.0024000000000000002
0.41;9.5104;0.0263;0.0025
0.42;9.9031;0.0279;0.0026000000000000003
0.43;10.2156;0.028900000000000002;0.0026000000000000003
0.44;10.4777;0.0298;0.0026000000000000003
0.45;10.7233;0.0297;0.0026000000000000003
0.46;11.0687;0.0304;0.0026000000000000003
0.47;11.1602;0.031100000000000003;0.0027
0.48;11.2642;0.031100000000000003;0.0027
0.49;11.3766;0.031400000000000004;0.0026000000000000003
0.5;11.4349;0.0317;0.0026000000000000003
0.51;11.576400000000001;0.032600000000000004;0.0026000000000000003
0.52;11.6471;0.0345;0.0026000000000000003
