Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-J14a;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;BALAJI.S;;
Date;2022-06-23 00:00:00;;
Start Time;07:28:00;;
Time at penetration;07:32:27;;
Total time taken;00:04:27;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;1.96;;
Pre-Drill:;0;;
Penetration Depth;4;;
Remarks;;;
Easting;234354.013;;
Northing;2702273.808;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;-0.0029000000000000002;0.0;0.0
0.01;0.018000000000000002;0.0;0.0001
0.02;0.030500000000000003;0.0;0.0
0.03;0.0388;0.0;0.0
0.04;0.0472;0.0;0.0
0.05;0.0597;0.0001;0.0
0.06;0.1057;0.0001;0.0
0.07;0.1558;0.0002;0.0001
0.08;0.2268;0.0005;0.0001
0.09;0.2853;0.001;0.0001
0.09999999;0.4691;0.001;0.0001
0.11;1.0706;0.0031000000000000003;0.0001
0.12;1.5384;0.004;0.0002
0.13;2.3028;0.004200000000000001;0.0002
0.14;2.6119000000000003;0.0044;0.0002
0.15;3.109;0.0056;0.0002
0.16;3.2176;0.0068000000000000005;0.0002
0.17;3.6437000000000004;0.0059;0.0002
0.18;4.1658;0.0068000000000000005;0.0002
0.19;4.5;0.0077;0.0001
0.2;4.9344;0.008700000000000001;0.0001
0.21;5.218500000000001;0.0097;0.0001
0.22;5.3772;0.01;0.0001
0.23;5.561;0.010100000000000001;0.0001
0.2400001;5.7782;0.0102;0.0001
0.2500001;5.962000000000001;0.0118;0.0001
0.2600001;6.0957;0.0164;0.0001
0.27;6.4089;0.0128;0.0001
0.28;6.4549;0.0175;0.0001
0.29;6.5092;0.0206;0.0001
0.3;6.5635;0.0308;0.0001
0.31;6.7348;0.034;0.0001
0.32;6.9603;0.0359;0.0001
0.33;7.135800000000001;0.0379;0.0001
0.34;7.666200000000001;0.038;0.0001
0.35;8.3764;0.038200000000000005;0.0001
0.36;8.7398;0.0392;0.0001
0.3699999;9.2661;0.0398;0.0002
0.3799999;9.7757;0.0398;0.0002
0.3899999;10.33;0.0398;0.0002
0.3999999;10.604700000000001;0.0398;0.0002
0.4099999;10.8876;0.0397;0.0002
0.4199999;11.4161;0.0397;0.0002
0.4299999;12.0112;0.0397;0.0002
0.4399999;12.385800000000001;0.0398;0.0002
0.4499999;13.0058;0.04;0.0002
0.4599999;12.7187;0.040400000000000005;0.0002
0.4699998;12.976700000000001;0.0458;0.0002
0.4799998;12.9101;0.0473;0.0002
0.4899998;13.030800000000001;0.051000000000000004;0.0002
0.4999998;13.284600000000001;0.0516;0.0002
0.5099998;13.238900000000001;0.051500000000000004;0.0002
0.5199998;13.7507;0.0514;0.0002
0.5299998;14.3625;0.0511;0.0002
0.5399998;14.8244;0.0494;0.0002
0.5499998;14.5789;0.047900000000000005;0.0002
0.5599998;14.587200000000001;0.0473;0.0002
0.5699998;14.5372;0.048100000000000004;0.0002
0.5799997;14.0046;0.0489;0.0002
0.5899997;13.8423;0.054400000000000004;0.0002
0.5999997;13.446900000000001;0.06570000000000001;0.0002
0.6099997;13.3512;0.0751;0.0001
0.6199997;13.2362;0.0845;0.0001
0.6299997;13.183800000000002;0.0993;0.0001
0.6399997;13.1719;0.114;0.0001
0.6499997;13.384300000000001;0.1282;0.0001
0.6599997;13.5967;0.1292;0.0001
0.6699997;14.5081;0.1302;0.0001
0.6799996;14.891;0.1345;0.0001
0.6899996;15.228000000000002;0.1389;0.0001
0.6999996;15.565100000000001;0.14200000000000002;0.0001
0.7099996;20.259900000000002;0.1452;0.0002
0.7199996;18.5489;0.14880000000000002;0.0004
0.7299996;18.4948;0.1524;0.0004
0.7399996;17.0591;0.1575;0.0005
0.7499996;15.573500000000001;0.16010000000000002;0.0005
0.7599996;15.1989;0.16010000000000002;0.0005
0.7699996;15.2447;0.16;0.0005
0.7799996;12.727;0.1587;0.0005
0.7899995;12.5897;0.15080000000000002;0.0005
0.7999995;12.4524;0.1129;0.0005
0.8099995;12.4366;0.10830000000000001;0.0005
0.8199995;12.433;0.1068;0.0005
0.8299995;12.444700000000001;0.1053;0.0005
0.8399995;12.4565;0.1019;0.0005
0.8499995;13.284600000000001;0.1051;0.0005
0.8599995;13.6883;0.07440000000000001;0.0005
0.8699995;15.573500000000001;0.067;0.0005
0.8799995;15.6234;0.0666;0.0005
0.8899994;15.7025;0.0664;0.0005
0.8999994;15.9105;0.0663;0.0005
0.9099994;14.541400000000001;0.0664;0.0005
0.9199994;14.7994;0.0664;0.00030000000000000003
0.9299994;14.350000000000001;0.0666;-0.0002
0.9399994;14.7536;0.0688;-0.0004
0.9499994;14.125300000000001;0.09230000000000001;-0.0005
0.9599994;13.0641;0.0931;-0.0006000000000000001
0.9699994;12.4357;0.0931;-0.0006000000000000001
0.9799994;12.206000000000001;0.09240000000000001;-0.0006000000000000001
0.9899994;12.196;0.0916;-0.0006000000000000001
0.9999993;12.200700000000001;0.0881;-0.0006000000000000001
1.009999;12.205400000000001;0.0877;-0.0006000000000000001
1.019999;12.2484;0.0876;-0.0006000000000000001
1.029999;12.252600000000001;0.06760000000000001;-0.0006000000000000001
1.039999;12.2568;0.0645;-0.0008
1.049999;13.1431;0.063;-0.0008
1.059999;13.6425;0.0626;-0.0008
1.069999;13.2805;0.062200000000000005;-0.0008
1.079999;13.417800000000002;0.062200000000000005;-0.0008
1.089999;12.7187;0.062200000000000005;-0.0007
1.099999;12.4524;0.0621;0.0001
1.109999;11.8323;0.0536;-0.00030000000000000003
1.119999;11.5493;0.038400000000000004;-0.0006000000000000001
1.129999;11.4661;0.0364;-0.0008
1.139999;11.382800000000001;0.032100000000000004;-0.0008
1.149999;11.297500000000001;0.0307;-0.0009000000000000001
1.159999;11.212200000000001;0.030000000000000002;-0.0009000000000000001
1.169999;11.174800000000001;0.029400000000000003;-0.0009000000000000001
1.179999;10.7753;0.029300000000000003;-0.0009000000000000001
1.189999;10.2925;0.029300000000000003;-0.0009000000000000001
1.199999;10.1416;0.028900000000000002;-0.0009000000000000001
1.209999;10.090200000000001;0.028300000000000002;-0.0009000000000000001
1.219999;10.066500000000001;0.0281;-0.0009000000000000001
1.229999;10.042900000000001;0.0281;-0.0009000000000000001
1.239999;10.047;0.0281;-0.0009000000000000001
1.249999;9.4749;0.0281;-0.0008
1.259999;9.241;0.028;-0.0007
1.269999;9.1491;0.028;-0.0009000000000000001
1.279999;8.965300000000001;0.027700000000000002;-0.0009000000000000001
1.289999;8.7147;0.026500000000000003;-0.001
1.299999;8.685500000000001;0.0239;-0.001
1.309999;8.6145;0.021400000000000002;-0.001
1.319999;8.5017;0.0212;-0.0012000000000000001
1.329999;8.4265;0.0211;-0.0012000000000000001
1.339999;7.979500000000001;0.0211;-0.0012000000000000001
1.349999;7.7498000000000005;0.0212;-0.0012000000000000001
