Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-K17d;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;BALAJI.S;;
Date;2022-06-22 00:00:00;;
Start Time;10:48:00;;
Time at penetration;10:57:28;;
Total time taken;00:09:28;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;2.1;;
Pre-Drill:;0;;
Penetration Depth;7.44;;
Remarks;;;
Easting;234626.777;;
Northing;2702008.102;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;0.0;0.0;0.0
0.01;0.8981;0.0;0.00030000000000000003
0.02;0.9023;0.0;0.00030000000000000003
0.03;1.7168;0.0009000000000000001;0.0005
0.04;3.4127;0.0018000000000000002;0.0007
0.05;4.770300000000001;0.0037;0.0008
0.06;6.0526;0.0074;0.001
0.07;7.4979000000000005;0.0148;0.0009000000000000001
0.08;8.220600000000001;0.029500000000000002;0.0007
0.09;9.716000000000001;0.0591;0.0006000000000000001
0.09999999;11.2318;0.046400000000000004;0.0004
0.11;11.2193;0.0732;0.00030000000000000003
0.12;11.614700000000001;0.094;0.0001
0.13;12.1431;0.0981;-0.0001
0.14;12.1681;0.0989;-0.0002
0.15;12.5135;0.09970000000000001;-0.0001
0.16;13.162700000000001;0.1012;-0.0004
0.17;13.5622;0.1027;-0.0021000000000000003
0.18;14.419500000000001;0.10450000000000001;-0.0021000000000000003
0.19;13.7245;0.1063;-0.0021000000000000003
0.2;13.8041;0.10590000000000001;-0.0023
0.21;13.883700000000001;0.1159;-0.0024000000000000002
0.22;14.173900000000001;0.1216;-0.0023
0.23;16.142300000000002;0.1213;-0.0022
0.2400001;16.2297;0.12100000000000001;-0.0021000000000000003
0.2500001;16.1631;0.12040000000000001;-0.0011
0.2600001;16.3213;0.11610000000000001;-0.0009000000000000001
0.27;16.0258;0.114;-0.0011
0.28;15.3724;0.1139;-0.0014
0.29;14.952100000000002;0.1143;-0.0017000000000000001
0.3;14.327900000000001;0.11470000000000001;-0.002
