Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-K18c;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;BALAJI.S;;
Date;2022-06-22 00:00:00;;
Start Time;10:32:00;;
Time at penetration;10:39:08;;
Total time taken;00:07:08;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;2.04;;
Pre-Drill:;0;;
Penetration Depth;6.79;;
Remarks;;;
Easting;234673.44;;
Northing;2701990.142;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;0.0;0.0;0.0
0.01;1.6416000000000002;0.0;-0.0001
0.02;1.7669000000000001;0.0002;-0.0001
0.03;2.6608;0.00030000000000000003;0.0
0.04;4.5322000000000005;0.0006000000000000001;0.0
0.05;6.883900000000001;0.0013000000000000002;0.0
0.06;8.968300000000001;0.0026000000000000003;0.0
0.07;10.7491;0.005200000000000001;0.0
0.08;11.3941;0.010400000000000001;0.0
0.09;13.3916;0.020800000000000003;0.0
0.1;15.1477;0.0516;0.0001
0.11;16.7915;0.0346;0.0002
0.12;17.511400000000002;0.0733;0.0002
0.13;18.2439;0.08700000000000001;0.0002
0.14;19.130300000000002;0.0879;0.00030000000000000003
0.15;19.4132;0.0922;0.00030000000000000003
0.16;19.2176;0.0964;0.0004
0.17;19.700400000000002;0.09570000000000001;0.0004
0.18;19.700400000000002;0.0974;0.0004
0.19;19.9043;0.09910000000000001;0.0005
0.2;20.2545;0.1029;0.0006000000000000001
0.21;21.1556;0.10540000000000001;0.0006000000000000001
0.22;21.1306;0.1063;0.0007
0.23;21.4101;0.1072;0.0008
0.24;21.927400000000002;0.1077;0.0009000000000000001
0.25;21.9065;0.10830000000000001;0.0012000000000000001
0.26;22.3655;0.1136;0.0012000000000000001
0.27;23.070500000000003;0.1202;0.0013000000000000002
0.28;22.9662;0.12810000000000002;0.0016
0.29;23.0788;0.1359;0.0017000000000000001
0.3;23.108;0.136;0.002
0.31;23.093500000000002;0.1361;0.0021000000000000003
0.32;23.0788;0.1386;0.0021000000000000003
0.33;23.4376;0.1411;0.0022
0.34;23.070500000000003;0.1438;0.0023
0.35;22.828500000000002;0.14500000000000002;0.0024000000000000002
0.36;22.5866;0.14550000000000002;0.0025
0.37;21.9691;0.14600000000000002;0.0025
0.38;21.431;0.14600000000000002;0.0026000000000000003
0.39;21.318;0.14600000000000002;0.0027
0.4;21.292;0.14600000000000002;0.0027
0.41;21.2876;0.14550000000000002;0.0028
0.42;21.342000000000002;0.14020000000000002;0.003
0.43;21.3965;0.13970000000000002;0.003
0.44;21.5061;0.13920000000000002;0.0031000000000000003
0.45;22.040100000000002;0.11130000000000001;0.0032
0.46;22.578200000000002;0.0976;0.0035
0.47;23.087200000000003;0.0976;0.0036000000000000003
0.48;23.567;0.0976;0.0038
0.49;24.034200000000002;0.0976;0.0039000000000000003
0.5;23.9768;0.09870000000000001;0.004
0.51;24.2037;0.0995;0.004
0.52;24.430500000000002;0.10980000000000001;0.004200000000000001
0.53;24.826900000000002;0.1158;0.004200000000000001
0.54;24.8519;0.1228;0.004200000000000001
0.55;24.883200000000002;0.1269;0.0036000000000000003
0.56;24.9145;0.1285;0.0034000000000000002
0.57;25.732200000000002;0.1371;0.0034000000000000002
0.58;26.1035;0.1468;0.0034000000000000002
0.59;26.3621;0.1549;0.0034000000000000002
0.6;26.558200000000003;0.1631;0.0034000000000000002
0.61;26.7376;0.16060000000000002;0.0034000000000000002
0.62;26.672900000000002;0.1776;0.0034000000000000002
0.63;26.675800000000002;0.1758;0.0036000000000000003
0.64;26.678700000000003;0.1807;0.0036000000000000003
0.65;26.6875;0.1819;0.0036000000000000003
0.66;26.7376;0.1831;0.0035
0.67;26.675;0.18530000000000002;0.0036000000000000003
0.68;26.6708;0.1865;0.0033
0.69;26.6479;0.1865;0.0028
0.7;26.625;0.1864;0.0021000000000000003
0.71;26.570700000000002;0.1864;0.0011
0.72;26.5499;0.1862;0.0005
0.73;26.529;0.1799;-0.0016
0.74;26.474800000000002;0.17370000000000002;-0.0027
0.75;26.383000000000003;0.1731;-0.0032
