Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-L14c;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;SHANAVAS;;
Date;2022-06-21 00:00:00;;
Start Time;22:27:00;;
Time at penetration;22:29:32;;
Total time taken;00:02:32;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;2.1;;
Pre-Drill:;0;;
Penetration Depth;3.11;;
Remarks;;;
Easting;234264.215;;
Northing;2702040.492;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;-0.0184;0.0;-0.0001
0.01;0.5205000000000001;0.0;-0.0006000000000000001
0.02;0.8338;0.00030000000000000003;-0.0006000000000000001
0.03;1.5272000000000001;0.0006000000000000001;-0.0005
0.04;2.3876;0.0012000000000000001;-0.0005
0.05;2.5297;0.0025;-0.0005
0.06;4.1044;0.0049;-0.0005
0.07;4.8981;0.0099;-0.0004
0.08;6.819500000000001;0.0198;-0.0004
0.09;8.3734;0.0395;-0.00030000000000000003
0.1;12.274700000000001;0.0436;0.0
0.11;15.116900000000001;0.0476;0.0001
0.12;16.4902;0.0514;0.0001
0.13;17.156000000000002;0.0663;0.0002
0.14;18.4877;0.0666;0.0006000000000000001
0.15;19.9359;0.0668;0.0009000000000000001
0.16;21.5628;0.0698;0.001
0.17;25.271600000000003;0.0727;0.0013000000000000002
0.18;26.552400000000002;0.0931;0.0016
0.19;26.2103;0.1029;0.0016
0.2;25.6429;0.11670000000000001;0.0017000000000000001
0.21;25.271600000000003;0.1254;0.0017000000000000001
0.22;25.044900000000002;0.1259;0.0016
0.23;24.936500000000002;0.12610000000000002;0.0016
0.24;24.991;0.1262;0.0017000000000000001
0.25;25.0455;0.1263;0.0017000000000000001
0.26;25.1831;0.1263;0.0017000000000000001
0.27;25.7973;0.12660000000000002;0.0018000000000000002
0.28;26.3271;0.12710000000000002;0.0021000000000000003
0.29;27.215700000000002;0.1273;0.0023
0.3;27.9917;0.1275;0.0025
0.31;28.500600000000002;0.1292;0.0026000000000000003
0.32;28.922;0.131;0.0026000000000000003
0.33;29.2516;0.13470000000000001;0.0028
0.34;29.735500000000002;0.1374;0.003
0.35;30.227800000000002;0.1401;0.0031000000000000003
0.36;30.528200000000002;0.1427;0.0032
0.37;30.5073;0.1453;0.0033
0.38;31.183100000000003;0.1486;0.0033
0.39;32.0801;0.1618;0.0035
0.4;32.4514;0.1719;0.0037
0.41;32.3513;0.1713;0.0038
0.42;32.6099;0.1779;0.004
0.43;32.7267;0.18100000000000002;0.0041
0.44;32.7434;0.1824;0.0043
0.45;32.1176;0.18380000000000002;0.0044
0.46;31.5044;0.1839;0.0045000000000000005
0.47;30.6366;0.1839;0.0045000000000000005
0.48;29.1765;0.1839;0.0044
0.49;28.425500000000003;0.18380000000000002;0.0043
0.5;27.695400000000003;0.1835;0.0043
0.51;27.0363;0.1831;0.004200000000000001
0.52;25.2966;0.18130000000000002;0.004200000000000001
0.53;24.620800000000003;0.1555;0.0039000000000000003
0.54;24.0033;0.133;0.0038
0.55;23.5945;0.1275;0.0038
0.56;22.6433;0.1206;0.0038
0.57;22.0718;0.11380000000000001;0.0038
0.58;21.5378;0.112;0.0038
0.59;21.4084;0.0926;0.0038
0.6;21.166500000000003;0.0829;0.0038
0.61;21.166500000000003;0.08080000000000001;0.0038
0.62;20.991200000000003;0.0814;0.0039000000000000003
0.63;20.5365;0.0804;0.0039000000000000003
0.64;20.0442;0.0795;0.0038
0.65;18.912200000000002;0.077;0.0038
0.66;17.817700000000002;0.0745;0.0037
0.67;17.7515;0.0743;0.0036000000000000003
0.68;17.7223;0.0743;0.0036000000000000003
0.69;17.7497;0.0743;0.0036000000000000003
0.7;17.7771;0.0743;0.0036000000000000003
0.71;17.9759;0.07490000000000001;0.0036000000000000003
0.72;18.7457;0.0755;0.0036000000000000003
0.73;18.7457;0.0752;0.0037
0.74;19.6113;0.07880000000000001;0.0035
0.75;21.162300000000002;0.0824;0.003
0.76;19.886;0.0907;0.0025
0.77;19.8444;0.109;0.0025
0.78;19.8444;0.109;0.0022
0.79;19.2285;0.1194;0.0021000000000000003
0.8;18.0549;0.1206;0.0021000000000000003
0.81;18.0549;0.1207;0.002
0.82;16.7649;0.1202;0.002
0.83;16.7649;0.1197;0.002
0.84;16.2197;0.1188;0.002
0.85;15.3125;0.11460000000000001;0.002
0.86;15.3125;0.11280000000000001;0.0019
0.87;14.401200000000001;0.1109;0.0018000000000000002
0.88;14.401200000000001;0.11120000000000001;0.0017000000000000001
0.89;13.9809;0.10400000000000001;0.0017000000000000001
