Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-L15d;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;SHANAVAS;;
Date;2022-06-21 00:00:00;;
Start Time;23:56:00;;
Time at penetration;00:02:15;;
Total time taken;00:06:15;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;1.81;;
Pre-Drill:;0;;
Penetration Depth;5.73;;
Remarks;;;
Easting;234404.205;;
Northing;2701986.613;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;-0.0033;0.0;0.0
0.01;0.8404;0.0;0.0014
0.02;3.1128;0.0004;0.0017000000000000001
0.03;9.758600000000001;0.0008;0.0021000000000000003
0.04;17.042;0.0016;0.0026000000000000003
0.05;18.461100000000002;0.0033;0.0024000000000000002
0.06;19.509800000000002;0.006500000000000001;0.0023
0.07;19.6596;0.0131;0.0022
0.08;20.526500000000002;0.0261;0.0022
0.09;18.8897;0.0522;0.0021000000000000003
0.1;18.3447;0.0534;0.0022
0.11;18.3553;0.054;0.0022
0.12;18.366;0.054700000000000006;0.0022
0.13;18.413800000000002;0.056400000000000006;0.0023
0.14;18.5152;0.0747;0.0023
0.15;18.7482;0.0789;0.0023
0.16;18.848100000000002;0.08320000000000001;0.0023
0.17;19.8052;0.08320000000000001;0.0023
0.18;20.4723;0.0854;0.0023
0.19;21.2274;0.08410000000000001;0.0024000000000000002
0.2;21.8198;0.0898;0.0025
0.21;22.2119;0.1061;0.0026000000000000003
0.22;22.666700000000002;0.1189;0.0027
0.23;23.2174;0.1584;0.0029000000000000002
0.24;23.7806;0.1515;0.0029000000000000002
0.25;24.614900000000002;0.15990000000000001;0.003
0.26;25.078000000000003;0.1719;0.0031000000000000003
0.27;24.8444;0.18380000000000002;0.0032
0.28;24.9174;0.1902;0.0034000000000000002
0.29;24.9904;0.2076;0.0034000000000000002
0.3;25.979100000000003;0.2255;0.0035
0.31;27.2557;0.2394;0.0036000000000000003
0.32;28.866100000000003;0.2454;0.0039000000000000003
0.33;31.2482;0.24530000000000002;0.0041
0.34;31.1356;0.24530000000000002;0.004200000000000001
0.35;29.0914;0.2451;0.0043
0.36;26.1627;0.2414;0.0017000000000000001
0.37;24.5273;0.20070000000000002;-0.0001
0.38;24.521700000000003;0.1933;-0.0014
0.39;24.5194;0.1935;-0.0021000000000000003
0.4;24.5192;0.18810000000000002;-0.0025
0.41;24.6171;0.1829;-0.0025
0.42;24.7151;0.1777;-0.0026000000000000003
0.43;25.612000000000002;0.1764;-0.0025
0.44;26.0167;0.1758;-0.0025
0.45;25.3367;0.1756;-0.0019
0.46;24.8486;0.1757;-0.0013000000000000002
0.47;24.4355;0.1759;-0.001
0.48;23.597;0.1763;-0.0012000000000000001
0.49;23.2737;0.1766;-0.0011
0.5;23.241300000000003;0.1908;-0.0011
0.51;23.2358;0.1991;-0.0011
0.52;23.271800000000002;0.20320000000000002;-0.001
0.53;23.3077;0.20720000000000002;0.0006000000000000001
0.54;23.380100000000002;0.20720000000000002;0.00030000000000000003
0.55;23.380100000000002;0.20750000000000002;0.00030000000000000003
0.56;24.506500000000003;0.20770000000000002;-0.0012000000000000001
0.57;24.3396;0.2107;-0.0012000000000000001
0.58;24.4022;0.2102;-0.0013000000000000002
0.59;24.5649;0.2134;-0.0012000000000000001
0.6;24.377100000000002;0.21080000000000002;-0.0016
0.61;23.9307;0.2082;-0.0027
0.62;23.2591;0.2024;-0.0037
0.63;22.508100000000002;0.1903;-0.0047
0.64;22.2829;0.16590000000000002;-0.0046
0.65;22.2098;0.1651;-0.0049
0.66;22.1368;0.1642;-0.0053
0.67;22.2453;0.1627;-0.0054
0.68;21.9282;0.16110000000000002;-0.0054
0.69;21.6112;0.1356;-0.0054
0.7;21.5911;0.1504;-0.0054
0.71;21.5818;0.1337;-0.0053
0.72;21.580000000000002;0.10790000000000001;-0.0053
0.73;21.5945;0.0821;-0.005200000000000001
0.74;21.608900000000002;0.061200000000000004;-0.0051
0.75;21.7363;0.0604;-0.005
0.76;22.508100000000002;0.060200000000000004;-0.005
0.77;22.587400000000002;0.060200000000000004;-0.0025
0.78;22.666700000000002;0.06330000000000001;-0.0031000000000000003
0.79;23.584500000000002;0.0665;-0.003
0.8;24.4355;0.0727;-0.003
0.81;25.4159;0.1048;-0.0028
0.82;24.5837;0.1048;-0.002
0.83;24.3657;0.1562;-0.0002
0.84;24.1477;0.1751;-0.0004
0.85;23.9766;0.1751;0.0
0.86;23.9766;0.1751;0.0
0.87;23.743000000000002;0.17500000000000002;0.0007
0.88;23.743000000000002;0.1749;0.0007
0.89;22.791800000000002;0.1746;-0.0035
0.9;22.791800000000002;0.1504;-0.0035
0.91;19.4557;0.15610000000000002;-0.0044
0.92;19.4557;0.1296;-0.0044
0.93;18.569300000000002;0.1295;-0.0054
0.94;16.6342;0.12100000000000001;-0.0054
0.95;16.0932;0.1198;-0.0061
0.96;16.0932;0.11860000000000001;-0.0064
0.97;15.352500000000001;0.1131;-0.0063
0.98;14.6575;0.1109;-0.006200000000000001
0.99;14.3537;0.1073;-0.0059
1.0;14.0624;0.0985;-0.0033
1.01;13.3591;0.09000000000000001;-0.0028
1.02;13.234300000000001;0.0568;-0.0008
1.03;12.356200000000001;0.0448;0.0002
1.04;12.356200000000001;0.042800000000000005;0.0004
1.05;11.9526;0.0419;0.0
1.06;11.732000000000001;0.041800000000000004;0.0001
1.07;11.628;0.041800000000000004;-0.0014
1.08;11.5822;0.041800000000000004;-0.0015
1.09;11.6072;0.0417;-0.0022
1.1;11.532300000000001;0.0417;-0.0026000000000000003
1.11;11.4823;0.0417;-0.0025
1.12;11.0953;0.0417;-0.0049
1.13;10.9205;0.0417;-0.0111
1.14;10.901;0.041800000000000004;-0.012
1.15;10.9013;0.041800000000000004;-0.0128
1.16;10.9015;0.0422;-0.0128
1.17;10.903500000000001;0.044000000000000004;-0.013000000000000001
1.18;10.908000000000001;0.044500000000000005;-0.013300000000000001
1.19;10.9078;0.044500000000000005;-0.014
1.2;10.910400000000001;0.0446;-0.0142
1.21;10.9129;0.0446;-0.0142
1.22;10.924700000000001;0.0446;-0.0142
1.23;10.970500000000001;0.044700000000000004;-0.014100000000000001
1.24;11.1036;0.044700000000000004;-0.014
1.25;11.469800000000001;0.0449;-0.013600000000000001
1.26;11.6613;0.0455;-0.0134
1.27;11.9151;0.045000000000000005;-0.0132
1.28;12.1981;0.0456;-0.0132
1.29;12.4353;0.047400000000000005;-0.0131
1.3;12.685;0.047900000000000005;-0.0131
1.31;12.8972;0.048400000000000006;-0.013000000000000001
1.32;13.047;0.0489;-0.0129
1.33;13.1011;0.0489;-0.0129
1.34;12.9555;0.049;-0.0129
1.35;12.7224;0.049;-0.0128
1.36;12.4311;0.049;-0.0128
1.37;12.144;0.049;-0.0125
1.38;11.8818;0.049;-0.012100000000000001
1.39;11.594700000000001;0.049600000000000005;-0.0117
1.4;11.016200000000001;0.0502;-0.011000000000000001
1.41;10.7873;0.050300000000000004;-0.009300000000000001
1.42;10.5418;0.0502;-0.0088
1.43;10.4579;0.0502;-0.008
1.44;10.4563;0.0502;-0.0079
1.45;10.456800000000001;0.050100000000000006;-0.0077
1.46;10.4572;0.049600000000000005;-0.007500000000000001
1.47;10.4628;0.049100000000000005;-0.0076
1.48;10.537700000000001;0.0473;-0.007500000000000001
1.49;10.521;0.0471;-0.007500000000000001
1.5;10.417;0.047;-0.0074
1.51;10.0508;0.0471;-0.0071
1.52;9.9382;0.0471;-0.006500000000000001
1.53;9.9382;0.0478;-0.006900000000000001
1.54;9.8421;0.0478;-0.006500000000000001
1.55;9.725100000000001;0.051500000000000004;-0.0061
1.56;9.6165;0.055900000000000005;-0.0053
1.57;9.462;0.056100000000000004;-0.0033
1.58;9.1028;0.056100000000000004;-0.0008
1.59;8.5764;0.0562;0.0021000000000000003
1.6;7.966600000000001;0.0574;0.0028
1.61;7.3317000000000005;0.0587;0.0028
1.62;6.7803;0.0626;0.0029000000000000002
1.63;6.7803;0.0659;0.0028
1.64;6.2247;0.0658;0.0027
1.65;5.6942;0.0658;0.0026000000000000003
1.66;5.1846000000000005;0.0656;0.0025
1.67;4.6207;0.0645;0.0025
1.68;4.0359;0.0623;0.0024000000000000002
1.69;4.0359;0.064;0.0023
1.7;3.6099;0.060000000000000005;0.0022
1.71;3.2297000000000002;0.055900000000000005;0.0021000000000000003
1.72;3.1613;0.0529;0.0021000000000000003
1.73;3.1546000000000003;0.0512;0.0021000000000000003
1.74;3.1612;0.0495;0.0021000000000000003
1.75;3.1679;0.0476;0.0021000000000000003
1.76;3.2172;0.0473;0.0022
1.77;3.9816000000000003;0.0451;0.0022
1.78;4.574800000000001;0.042800000000000005;0.0022
1.79;4.9256;0.0375;0.0022
1.8;4.9256;0.035500000000000004;0.0017000000000000001
1.81;4.4954;0.034800000000000005;-0.007
1.82;3.8897000000000004;0.034;-0.011300000000000001
1.83;3.2297000000000002;0.0335;-0.0134
1.84;3.2297000000000002;0.0329;-0.014400000000000001
