Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-L20a;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;BALAJI.S;;
Date:;2022-06-22 00:00:00;;
Start Time;09:16:00;;
Time at penetration;09:23:43;;
Total time taken;00:07:43;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;2.1;;
Pre-Drill:;0;;
Penetration Depth;6.18;;
Remarks;;;
Easting;234842.133;;
Northing;2701871.641;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;0.0015;0.0;0.0001
0.01;1.4718;0.0;0.0007
0.02;2.3866;0.00030000000000000003;0.0008
0.03;3.9279;0.0007;0.0009000000000000001
0.04;5.628;0.0014;0.0014
0.05;7.2529;0.0028;0.0017000000000000001
0.06;10.2969;0.0056;0.0021000000000000003
0.07;13.126700000000001;0.0112;0.0023
0.08;16.189600000000002;0.0223;0.0027
0.09;15.8733;0.044700000000000004;0.0023
0.1;17.205000000000002;0.048100000000000004;0.0022
0.11;17.979;0.0475;0.0022
0.12;19.1525;0.055900000000000005;0.0022
0.13;19.706;0.059500000000000004;0.0022
0.14;20.3728;0.0632;0.0022
0.15;21.641000000000002;0.0632;0.0023
0.16;22.9218;0.0674;0.0025
0.17;22.9093;0.07150000000000001;0.0027
0.18;23.322300000000002;0.08460000000000001;0.0028
0.19;23.622700000000002;0.124;0.0029000000000000002
0.2;24.052400000000002;0.1441;0.0029000000000000002
0.21;24.8575;0.154;0.003
0.22;25.0953;0.155;0.0031000000000000003
0.23;25.5209;0.1552;0.0034000000000000002
0.24;25.6752;0.1552;0.0035
0.25;25.9005;0.153;0.0035
0.26;26.2593;0.15080000000000002;0.0035
0.27;26.939300000000003;0.1461;0.0036000000000000003
0.28;27.3231;0.1391;0.0036000000000000003
0.29;26.889200000000002;0.1322;0.0036000000000000003
0.3;26.4095;0.1315;0.0037
0.31;26.2843;0.1308;0.0038
0.32;25.654400000000003;0.12840000000000001;0.0041
0.33;25.5974;0.1282;0.0046
0.34;25.586100000000002;0.1282;0.0046
0.35;25.5806;0.12810000000000002;0.0044
0.36;25.575100000000003;0.12890000000000001;0.0044
0.37;25.742;0.1296;0.0043
0.38;25.2038;0.1569;0.0045000000000000005
0.39;24.6859;0.1514;0.004200000000000001
0.4;24.5572;0.1668;0.004
0.41;24.492800000000003;0.17270000000000002;0.004
0.42;24.4636;0.1786;0.0039000000000000003
0.43;24.5333;0.18150000000000002;0.0039000000000000003
0.44;24.6031;0.1844;0.0039000000000000003
0.45;25.733600000000003;0.18680000000000002;0.004
0.46;26.522100000000002;0.18730000000000002;0.004
0.47;27.7027;0.18780000000000002;0.004200000000000001
0.48;27.7027;0.18780000000000002;0.0043
0.49;28.996000000000002;0.1912;0.0043
0.5;29.626;0.19290000000000002;0.0044
0.51;31.666;0.1933;0.0046
0.52;32.1667;0.1933;0.0046
0.53;31.737000000000002;0.19140000000000001;0.0046
0.54;30.6356;0.1895;0.0046
0.55;30.410300000000003;0.1857;0.0046
0.56;28.603900000000003;0.18510000000000001;0.0046
0.57;25.7211;0.1845;0.0045000000000000005
0.58;25.7211;0.17880000000000001;0.0044
0.59;23.9314;0.17800000000000002;0.0037
0.6;22.3753;0.16820000000000002;0.0018000000000000002
0.61;21.5367;0.1522;0.0002
0.62;20.564700000000002;0.14170000000000002;-0.0034000000000000002
0.63;19.2358;0.1313;-0.0034000000000000002
0.64;17.8583;0.12610000000000002;-0.0034000000000000002
