Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-L20b;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;BALAJI.S;;
Date;2022-06-22 00:00:00;;
Start Time;09:02:00;;
Time at penetration;09:08:54;;
Total time taken;00:06:54;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;1.96;;
Pre-Drill:;0;;
Penetration Depth;6.8;;
Remarks;;;
Easting;234888.796;;
Northing;2701853.681;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;0.0021000000000000003;0.0;0.0
0.01;0.6621;0.0;-0.00030000000000000003
0.02;0.7999;0.00030000000000000003;-0.0002
0.03;1.2761;0.0005;-0.0002
0.04;2.5084;0.0011;0.0002
0.05;4.5301;0.0022;0.0007
0.06;6.6395;0.0044;0.0014
0.07;9.129100000000001;0.0088;0.0022
0.08;10.9384;0.0175;0.0028
0.09;11.0341;0.0234;0.0025
0.1;12.078700000000001;0.029300000000000003;0.0028
0.11;12.6363;0.0309;0.0029000000000000002
0.12;13.3937;0.0325;0.0033
0.13;14.3924;0.0367;0.0039000000000000003
0.14;15.328800000000001;0.0371;0.0041
0.15;15.8406;0.0374;0.0041
0.16;15.844800000000001;0.040600000000000004;0.0043
0.17;16.3234;0.0438;0.0044
0.18;16.2817;0.0505;0.0047
0.19;16.381600000000002;0.062200000000000005;0.0048000000000000004
0.2;16.315;0.0741;0.0049
0.21;16.4399;0.0763;0.0049
0.22;16.564700000000002;0.07680000000000001;0.0049
0.23;16.8352;0.07740000000000001;0.005
0.24;17.6176;0.0777;0.005
0.25;18.1752;0.0781;0.0051
0.26;18.445700000000002;0.0794;0.005200000000000001
0.27;20.4109;0.08030000000000001;0.0054
0.28;21.262;0.0811;0.0056
0.29;22.317500000000003;0.0936;0.0061
0.3;23.3646;0.0949;0.0064
0.31;24.5286;0.0956;0.006500000000000001
0.32;24.1007;0.0959;0.006500000000000001
0.33;24.1243;0.096;0.006500000000000001
0.34;24.1479;0.0961;0.006500000000000001
0.35;25.1001;0.0961;0.0066
0.36;25.471400000000003;0.0961;0.0068000000000000005
0.37;25.1126;0.0961;0.0068000000000000005
0.38;25.2587;0.0964;0.006900000000000001
0.39;25.404700000000002;0.0971;0.007
0.4;25.805200000000003;0.1004;0.0077
0.41;26.485200000000003;0.10350000000000001;0.0077
0.42;26.990000000000002;0.1032;0.0077
0.43;27.8035;0.1109;0.0078000000000000005
0.44;27.8744;0.11230000000000001;0.0078000000000000005
0.45;27.561500000000002;0.11370000000000001;0.0079
