Client Name;AL HUDAYRIYAT ISLAND PDA ENABLING WORKS;C2;C3
Job Number;HUDAYRIYAT;;convert_nmdc_to_csv_00
Sounding Number;PRE-HUD-M14b;;
Cone Number;S15CFIIP.S19528;;
Location;HUDAYRIYAT;;
Operator;SHANAVAS;;
Date;2022-06-22 00:00:00;;
Start Time;00:40:00;;
Time at penetration;00:44:34;;
Total time taken;00:04:34;;
Assumed GWL:;0;;
Reference level;;;
groundlvl;2.01;;
Pre-Drill:;0;;
Penetration Depth;6.22;;
Remarks;;;
Easting;234292.919;;
Northing;2701975.869;;
aratio;0.8;;
Beta Factor;1;;
;;;
;;;
;;;
Depth (m);qc (MPa);fs (MPa);u (MPa)
0.0;0.0;0.0;-0.0001
0.01;0.7185;0.0;0.0002
0.02;1.6541000000000001;0.00030000000000000003;0.00030000000000000003
0.03;2.7987;0.0005;0.0004
0.04;6.0234000000000005;0.0011;0.0008
0.05;9.2857;0.0021000000000000003;0.0012000000000000001
0.06;10.6409;0.0043;0.0014
0.07;14.581800000000001;0.0085;0.0016
0.08;17.5822;0.0171;0.0018000000000000002
0.09;20.166900000000002;0.0341;0.002
0.1;21.8356;0.0368;0.0023
0.11;22.244500000000002;0.042300000000000004;0.0026000000000000003
0.12;22.092200000000002;0.0448;0.0025
0.13;22.162100000000002;0.0512;0.0025
0.14;22.232;0.0536;0.0024000000000000002
0.15;22.3446;0.0668;0.0024000000000000002
0.16;22.453100000000003;0.0673;0.0023
0.17;22.640800000000002;0.0794;0.0023
0.18;22.4405;0.08070000000000001;0.0023
0.19;22.3363;0.08360000000000001;0.0023
0.2;21.9816;0.0966;0.0022
0.21;21.3517;0.10110000000000001;0.0021000000000000003
0.22;20.6675;0.1028;0.002
0.23;19.887600000000003;0.1029;0.0019
0.24;19.1344;0.1029;0.0017000000000000001
0.25;18.1981;0.1029;0.0015
0.26;17.3866;0.1029;0.0014
0.27;15.4474;0.10200000000000001;0.0011
0.28;14.64;0.0918;0.001
0.29;13.7994;0.08750000000000001;0.001
0.3;12.8048;0.08320000000000001;0.001
0.31;12.3512;0.0834;0.001
0.32;12.301200000000001;0.07780000000000001;0.0011
